timestamp,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230718093003000,7.0,7.01,7.01,7.01,7.01,7.01,7.01,7.01,6.99,7.01,7.01,7.02,7.03,7.04,7.05,7.06,7.07,7.08,7.09,7.1,25100,6200,1800,25700,36200,6000,13500,27100,41800,53200,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,37200,17350,13900,12100,34400,50500,3100,17900,35300,6800,6,11,16,5,4,131,12,3,15,4,27,12,3,2,4,5,3,1,15,6,666030.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,366778.51851851854,569180.0,-1,-1,-1,-1,-1,-1,-1,-1,106,226550,7.000019951230326,1585864.5,39,13922850,49,105800,7.000137051039697,740614.5,19,1811860,95361.05263157895,21845.988330412616
20230718093006000,7.0,7.0,7.0,7.0,7.0,7.01,7.01,7.01,7.0,7.0,7.0,7.01,7.02,7.03,7.04,7.05,7.06,7.07,7.08,7.09,31860,26400,6200,1800,27100,41500,6000,17100,27100,43800,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,23360,17350,13900,12100,35200,50500,3100,18600,35300,6800,6,12,19,5,4,136,12,3,15,4,28,12,3,2,4,5,3,1,15,6,174000.0,666030.0,-1,-1,-1,-1,-1,-1,-1,-1,309529.0625,569180.0,-1,-1,-1,-1,-1,-1,-1,-1,114,247190,7.00009911404183,1730354.5,40,13924760,8,20640,7.000484496124031,144490.0,1,1910,1910.0,22219.304604110246
20230718093009000,6.99,7.0,7.0,7.0,7.0,6.99,6.99,7.0,6.99,7.0,7.0,7.01,7.02,7.03,7.04,7.05,7.06,7.07,7.08,7.09,33460,27410,6200,1800,27100,41500,6000,17100,27100,43800,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,23060,17250,13900,12100,36700,50500,3100,18600,35300,6800,7,12,19,5,4,137,12,3,15,4,28,12,4,2,4,5,3,1,15,6,174000.0,666030.0,-1,-1,-1,-1,-1,-1,-1,-1,300149.3939393939,569180.0,-1,-1,-1,-1,-1,-1,-1,-1,116,247690,7.000086802050951,1733851.5,40,13924760,2,500,7.000086802050951,3497.0,0,-1,-1,22369.071610642026
20230718093012000,6.99,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.99,7.0,7.01,7.02,7.03,7.04,7.05,7.06,7.07,7.08,100,33560,27410,6200,1800,27100,41500,6000,17100,27100,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,23060,17250,13900,12100,36700,50500,3100,18600,35300,6800,7,12,19,5,4,137,12,3,15,4,28,12,4,2,4,5,3,1,15,6,70497.05882352941,174000.0,666030.0,-1,-1,-1,-1,-1,-1,-1,300149.3939393939,569180.0,-1,-1,-1,-1,-1,-1,-1,-1,116,247690,7.000086802050951,1733851.5,40,13924760,0,0,-1,0.0,0,-1,-1,22617.478492910624
20230718093015000,6.99,6.98,6.98,6.98,6.98,6.99,6.99,6.99,6.98,6.98,6.99,7.0,7.01,7.02,7.03,7.04,7.05,7.06,7.07,7.08,8500,33660,27410,6200,1800,27100,41500,6000,17100,27100,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,21960,16250,12900,12100,36700,50500,3100,18600,35300,6800,7,12,19,5,4,137,12,3,15,4,28,12,4,2,4,5,3,1,15,6,66608.33333333333,174000.0,666030.0,-1,-1,-1,-1,-1,-1,-1,300149.3939393939,284590.0,-1,-1,-1,-1,-1,-1,-1,-1,120,248790,7.00008273134509,1741530.5,41,13925260,4,1100,6.9809090909090905,7679.0,1,500,500.0,19672.84729966545
20230718093018000,6.99,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.99,7.0,7.01,7.02,7.03,7.04,7.05,7.06,7.07,2500,8500,33560,27410,6200,2300,27100,41500,6000,17100,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,21960,16250,12900,12100,36700,50500,3100,18600,35300,6800,7,12,19,5,4,137,12,3,15,4,28,12,4,2,4,5,3,1,15,6,29422.85714285714,66608.33333333333,174000.0,666030.0,-1,-1,-1,-1,-1,-1,300149.3939393939,284590.0,-1,-1,-1,-1,-1,-1,-1,-1,120,248790,7.00008273134509,1741530.5,41,13925260,0,0,-1,0.0,0,-1,-1,17384.37490043014
20230718093021000,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.99,7.0,7.01,7.02,7.03,7.04,7.05,7.06,7.07,7.08,8500,33560,27410,6200,2300,27100,41500,6000,17100,27100,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,21660,11350,8300,12200,36700,50500,3100,18600,35300,6800,7,12,19,5,4,137,12,3,15,4,29,12,4,2,4,5,3,1,15,6,66608.33333333333,174000.0,666030.0,-1,-1,-1,-1,-1,-1,-1,291321.4705882353,284590.0,0.0,-1,-1,-1,-1,-1,-1,-1,123,253690,6.9996156726713705,1775732.5,42,13928100,3,4900,6.98,34202.0,1,2840,2840.0,19093.231241038717
20230718093024000,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.99,7.0,7.01,7.02,7.03,7.04,7.05,7.06,7.07,4700,8500,33560,27410,6200,2300,27100,41500,6000,17100,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,21660,11350,8300,12300,36700,50500,3100,18600,35800,6800,7,12,19,5,4,137,12,3,15,4,29,12,4,2,4,5,3,1,15,6,26100.0,66608.33333333333,174000.0,666030.0,-1,-1,-1,-1,-1,-1,291321.4705882353,284590.0,0.0,-1,-1,-1,-1,-1,-1,-1,123,253690,6.9996156726713705,1775732.5,42,13928100,0,0,-1,0.0,0,-1,-1,17077.546399553925
20230718093027000,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.99,7.0,7.01,7.02,7.03,7.04,7.05,7.06,7.07,4700,8500,33560,27410,6200,2300,27100,41500,6000,17100,7.0,6.99,6.98,6.97,6.96,6.95,6.94,6.93,6.92,6.91,21660,11350,8300,12300,36700,50500,3100,18600,35800,6800,7,12,19,5,4,137,12,3,15,4,30,12,4,2,4,5,3,1,15,6,26100.0,66608.33333333333,174000.0,666030.0,-1,-1,-1,-1,-1,-1,291321.4705882353,284590.0,0.0,-1,-1,-1,-1,-1,-1,-1,123,253690,6.9996156726713705,1775732.5,42,13928100,0,0,-1,0.0,0,-1,-1,17090.092201688705
20230718093030000,6.97,6.96,6.96,6.96,6.96,6.97,6.97,6.97,6.96,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,7.04,7.05,7.06,1500,5300,8500,33560,27410,6200,2300,27100,41500,6000,6.96,6.95,6.94,6.93,6.92,6.91,6.9,6.89,6.88,6.87,27870,50500,3100,18600,35800,6800,86800,8500,5200,11000,7,12,19,5,4,138,12,3,15,4,30,12,4,2,4,5,3,1,15,6,480010.0,26100.0,66608.33333333333,174000.0,666030.0,-1,-1,-1,-1,-1,26363.333333333332,-1,-1,-1,-1,-1,-1,-1,-1,-1,128,279290,6.996095456335708,1953939.5,45,14007190,5,25600,6.9612109375,178207.0,3,79090,26363.333333333332,18755.153138441932
