timestamp,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230717093003000,6.89,6.89,6.91,6.89,6.91,6.91,6.9,6.92,6.88,6.91,6.9,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,9100,100900,1900,5100,12200,6400,9000,90100,60500,74300,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,53400,20700,25600,44100,42200,16500,20200,41700,61500,52800,24,12,84,15,5,18,5,17,6,2,1,5,9,7,6,15,17,7,2,2,45.0,1401870.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,169400,6.897311220889202,1168565.0,24,12802410,67,169400,6.898258559622196,1168565.0,24,12802410,533433.75,39358.07511550104
20230717093006000,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.91,6.88,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,500,102900,1900,5200,12900,6600,9000,95700,66000,82000,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,100,61400,20700,25600,44500,44200,29500,24200,47800,102700,29,14,88,15,5,19,5,18,6,2,1,5,9,9,6,15,18,7,2,2,5.0,1401870.0,-1,-1,-1,-1,-1,-1,-1,-1,597684.0,1493120.0,-1,-1,-1,-1,-1,-1,-1,-1,114,219700,6.897173418297679,1515309.0,28,14296190,47,50300,6.893518886679921,346744.0,4,1493780,373445.0,23739.954397004938
20230717093009000,6.89,6.89,6.89,6.89,6.89,6.9,6.9,6.9,6.88,6.89,6.89,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,10500,22900,500,102900,3900,5200,12900,6600,9000,96200,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,61300,20700,26400,44500,44200,29500,24200,51800,102700,52800,29,14,88,15,5,19,5,19,6,2,1,5,9,9,6,15,19,7,2,2,92.3529411764706,27.692307692307693,5.0,1401870.0,-1,-1,-1,-1,-1,-1,1493120.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,255400,6.896401722787784,1761341.0,35,14300220,15,35700,6.891652661064426,246032.0,7,4030,575.7142857142857,28111.790066910948
20230717093012000,6.89,6.9,6.91,6.9,6.91,6.9,6.9,6.91,6.89,6.91,6.89,6.9,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,8100,22000,105900,3900,5200,12900,6600,9000,96200,66000,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,1300,70200,20700,26400,54500,44200,29500,24200,51800,105700,29,14,88,15,5,19,5,19,6,2,1,5,9,9,6,16,19,7,2,2,78.5,174.7058823529412,1401870.0,-1,-1,-1,-1,-1,-1,-1,373902.5,1493120.0,-1,-1,-1,-1,-1,-1,-1,-1,143,261200,6.89633499807914,1801335.0,40,14304670,14,5800,6.89551724137931,39994.0,5,4450,890.0,32497.7218416441
20230717093015000,6.9,6.91,6.91,6.91,6.91,6.9,6.9,6.91,6.9,6.91,6.9,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,2900,105900,3900,5200,12900,6600,9000,96200,66000,82000,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,2100,1300,73200,20700,26600,54500,44200,29500,24200,51800,29,14,88,15,5,19,5,19,6,2,1,5,9,9,6,16,19,7,2,2,168.88888888888889,1401870.0,-1,-1,-1,-1,-1,-1,-1,-1,48.035714285714285,373902.5,1493120.0,-1,-1,-1,-1,-1,-1,-1,146,288400,6.89638346727899,1989286.0,41,14304740,3,27200,6.909963235294118,187951.0,1,70,70.0,28212.77680420583
20230717093018000,6.92,6.91,6.91,6.91,6.91,6.91,6.91,6.92,6.91,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,59900,3900,5200,12900,6600,9000,96200,66000,82000,1200,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,156200,42500,1400,73200,20700,26600,54500,45300,29500,24200,29,14,89,15,5,19,5,19,6,2,1,5,9,9,6,16,19,7,2,2,1266742.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,486.2962962962963,48.035714285714285,373902.5,1493120.0,-1,-1,-1,-1,-1,-1,187,350600,6.901203650884199,2419562.0,57,17182830,41,62200,6.917620578778135,430276.0,16,2878090,179880.625,44811.03433168711
20230717093021000,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.93,6.94,6.92,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,33300,12900,6600,9000,96200,66000,82000,1200,21200,29200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,700,16300,157800,42300,1400,73200,20700,26600,59100,45300,29,14,89,15,5,19,5,19,6,2,1,5,9,9,7,16,19,7,2,2,1266742.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,486.2962962962963,48.035714285714285,373902.5,1493120.0,-1,-1,-1,-1,215,377200,6.901203650884199,2604158.0,57,17182830,28,26600,6.901203650884199,184596.0,0,-1,-1,32758.194599330887
20230717093024000,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.93,6.94,6.92,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,21600,12900,6600,9000,96200,66000,82000,1200,21200,29200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,200,17200,157800,42300,3400,73200,20700,26600,59100,45300,29,14,89,15,5,19,5,19,6,2,1,5,9,10,7,16,19,7,2,2,1266742.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,486.2962962962963,48.035714285714285,373902.5,1493120.0,-1,-1,-1,-1,234,388900,6.901203650884199,2685351.0,57,17182830,19,11700,6.901203650884199,81193.0,0,-1,-1,31204.73155966226
20230717093027000,6.94,6.93,6.93,6.93,6.93,6.94,6.94,6.94,6.93,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,100,12900,15300,9000,96200,66000,82000,1200,21200,29200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,2400,16300,157800,44300,3400,73200,20700,26600,59100,45300,29,14,89,15,5,19,5,19,6,2,1,5,9,10,14,16,19,7,2,2,19610.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,486.2962962962963,48.035714285714285,373902.5,1493120.0,-1,-1,-1,-1,273,417100,6.905035952747817,2880922.0,58,17202440,39,28200,6.935141843971631,195571.0,1,19610,19610.0,29978.482953640276
20230717093030000,6.94,6.94,6.94,6.94,6.94,6.93,6.93,6.94,6.93,6.94,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,7.03,3200,12900,15300,9000,97800,66000,82000,1200,21200,29200,6.93,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,10500,16300,157800,44300,3400,73200,20700,26600,59100,45300,29,14,89,15,5,19,5,20,6,2,1,5,9,10,33,16,19,7,2,2,19610.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,486.2962962962963,48.035714285714285,373902.5,1493120.0,-1,-1,-1,-1,277,418400,6.905035952747817,2889942.0,58,17202440,4,1300,6.905035952747817,9020.0,0,-1,-1,30079.277521108812
