timestamp,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230803093006000,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.9,6.91,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,35700,9400,13300,8000,48600,347400,15200,76500,82000,54700,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,129200,50500,125000,30500,12700,48300,9500,30100,139700,18100,8,17,7,5,1,83,12,6,10,4,5,12,13,9,14,9,11,4,5,7,204.54545454545453,317666.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,189100,6.914003172924379,1307438.0,29,8475690,11,12300,6.909918699186992,84992.0,2,2250,1125.0,60372.61729329298
20230803093009000,6.9,6.91,6.91,6.91,6.91,6.9,6.91,6.91,6.9,6.91,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,21100,4100,13300,10100,48600,347400,15200,76500,82200,54700,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,4600,131500,53100,125000,32100,12700,48300,9500,30100,139700,8,18,7,5,1,83,12,8,10,4,9,12,15,9,14,9,12,4,5,7,154.0,317666.0,-1,-1,-1,-1,-1,-1,-1,-1,103896.4705882353,-1,-1,-1,-1,-1,-1,-1,-1,-1,117,232200,6.9129931093884585,1605197.0,30,8475750,37,43100,6.908561484918794,297759.0,1,60,60.0,52849.72618288991
20230803093012000,6.9,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,21100,4100,13300,10100,48600,347400,15200,76500,82200,54700,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,4600,131500,53100,125000,32100,12700,48300,9500,30100,139700,8,18,7,5,1,83,12,8,10,4,9,12,15,9,14,9,12,4,5,7,154.0,317666.0,-1,-1,-1,-1,-1,-1,-1,-1,103896.4705882353,-1,-1,-1,-1,-1,-1,-1,-1,-1,117,232200,6.9129931093884585,1605197.0,30,8475750,0,0,-1,0.0,0,-1,-1,52849.72618288991
20230803093015000,6.91,6.91,6.91,6.91,6.91,6.92,6.92,6.92,6.91,6.91,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,19700,2700,13300,10100,48600,347400,15200,76500,82200,55700,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,7000,154100,54000,125100,32100,12700,48300,7200,30100,139700,8,18,7,5,1,83,12,8,10,4,15,13,24,9,14,9,12,4,5,7,132.22222222222223,317666.0,-1,-1,-1,-1,-1,-1,-1,-1,100000.37735849057,-1,-1,-1,-1,-1,-1,-1,-1,-1,123,251100,6.9128235762644366,1735810.0,33,8477120,6,18900,6.91074074074074,130613.0,3,1370,456.6666666666667,54277.856659232115
20230803093018000,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,16800,2700,15900,10100,48600,347400,15200,78500,82200,55700,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,900,7100,154100,54000,125100,32100,12700,48300,7200,30100,8,18,7,5,1,83,12,8,10,4,16,13,24,9,14,9,12,4,5,7,132.22222222222223,244358.46153846153,-1,-1,-1,-1,-1,-1,-1,-1,0.0,100000.37735849057,-1,-1,-1,-1,-1,-1,-1,-1,126,254000,6.9128235762644366,1755878.0,33,8477120,3,2900,6.9128235762644366,20068.0,0,-1,-1,46952.30902501196
20230803093021000,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,15800,2700,15900,10100,48600,347400,15200,78500,82200,56600,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,1500,9300,154100,46800,125100,32100,12700,48300,7200,30100,8,18,7,5,1,84,12,8,10,4,18,13,24,9,14,9,12,4,5,7,132.22222222222223,158833.0,-1,-1,-1,-1,-1,-1,-1,-1,0.0,100000.37735849057,-1,-1,-1,-1,-1,-1,-1,-1,133,255000,6.9128235762644366,1762798.0,33,8477120,7,1000,6.9128235762644366,6920.0,0,-1,-1,46712.684204237696
20230803093024000,6.92,6.93,6.93,6.93,6.93,6.92,6.92,6.93,6.92,6.93,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,11900,4600,33200,10100,48600,348700,15200,78500,82200,56600,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,3200,9300,154100,46800,125100,32100,12700,48300,7200,30100,8,19,7,5,1,85,12,8,10,4,18,13,24,9,14,9,12,4,5,7,132.22222222222223,144395.0,-1,-1,-1,-1,-1,-1,-1,-1,17.24137931034483,100000.37735849057,-1,-1,-1,-1,-1,-1,-1,-1,138,258900,6.913037094281298,1789787.0,35,8477650,5,3900,6.92025641025641,26989.0,2,530,265.0,44255.36581965907
20230803093027000,6.92,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.92,6.93,6.91,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,5200,30100,11500,48600,348700,15200,78500,82200,56600,30800,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,3300,9300,154200,46800,125100,32100,12700,48300,7200,30100,8,19,7,5,1,85,12,9,10,4,18,13,25,9,14,9,12,4,5,7,132.22222222222223,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.24137931034483,100000.37735849057,-1,-1,-1,-1,-1,-1,-1,-1,142,265600,6.913102652825836,1836213.0,35,8477650,4,6700,6.913102652825836,46426.0,0,-1,-1,51367.37294886092
20230803093030000,6.92,6.92,6.92,6.92,6.92,6.93,6.93,6.93,6.92,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,19400,11500,48600,348700,15200,78500,82200,56600,30800,64600,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,200,9300,154200,46800,125100,32100,12700,48300,7200,30100,8,19,7,5,1,85,12,9,10,4,18,13,25,9,14,9,12,4,6,7,26443.333333333332,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.24137931034483,100000.37735849057,-1,-1,-1,-1,-1,-1,-1,-1,149,297800,6.9149948787982245,2059310.0,38,8556980,7,32200,6.928478260869565,223097.0,3,79330,26443.333333333332,64360.97558547076
20230803093033000,6.92,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.92,6.93,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7.01,7.02,13300,11500,48600,348700,15200,78500,82200,56600,30800,64600,6.92,6.91,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,18800,14800,154200,46800,125100,32100,12700,48300,7200,40100,8,19,7,5,1,85,12,9,10,4,21,13,25,9,14,10,12,4,6,7,26792.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,103.66666666666667,100000.37735849057,-1,-1,-1,-1,-1,-1,-1,-1,156,313900,6.9153655394524955,2170783.0,42,8614220,7,16100,6.923788819875776,111473.0,4,57240,14310.0,55196.47622271786
