timestamp,preclose,open,high,low,close,preclose_range,open_range,high_range,low_range,close_range,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ask_volume_6,ask_volume_7,ask_volume_8,ask_volume_9,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,bid_volume_6,bid_volume_7,bid_volume_8,bid_volume_9,ask_order_num_0,ask_order_num_1,ask_order_num_2,ask_order_num_3,ask_order_num_4,ask_order_num_5,ask_order_num_6,ask_order_num_7,ask_order_num_8,ask_order_num_9,bid_order_num_0,bid_order_num_1,bid_order_num_2,bid_order_num_3,bid_order_num_4,bid_order_num_5,bid_order_num_6,bid_order_num_7,bid_order_num_8,bid_order_num_9,ask_order_stale_0,ask_order_stale_1,ask_order_stale_2,ask_order_stale_3,ask_order_stale_4,ask_order_stale_5,ask_order_stale_6,ask_order_stale_7,ask_order_stale_8,ask_order_stale_9,bid_order_stale_0,bid_order_stale_1,bid_order_stale_2,bid_order_stale_3,bid_order_stale_4,bid_order_stale_5,bid_order_stale_6,bid_order_stale_7,bid_order_stale_8,bid_order_stale_9,order_num,volume,VWAP,amount,passive_num,passive_stale_total,order_num_range,volume_range,VWAP_range,amount_range,passive_num_range,passive_stale_total_range,passive_stale_avg_range,depth
20230721093003000,6.7,6.7,6.7,6.7,6.7,6.72,6.71,6.72,6.69,6.7,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,6.79,339600,97200,490900,201839,160100,252300,438200,46000,75000,39000,6.76,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,480600,5900,79300,21200,97100,6700,3400,11600,12300,25800,4,13,21,4,14,1,17,12,14,12,5,33,3,5,4,2,12,18,0,20,0.0,380.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,866.6666666666666,-1,-1,-1,-1,-1,-1,-1,-1,61,128700,6.7044743481917575,862822.0,9,5802840,61,128700,6.704133644133644,862822.0,9,5802840,644760.0,192681.06097658115
20230721093006000,6.69,6.69,6.69,6.69,6.69,6.7,6.7,6.7,6.69,6.69,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,6.78,19500,467800,103639,496900,215800,160100,253700,441200,53100,75000,6.76,6.69,6.68,6.67,6.66,6.65,6.64,6.63,6.62,6.61,453600,4500,80900,21700,106400,6700,3400,11600,12300,33800,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,14,18,0,20,200.0,0.0,380.0,-1,-1,-1,-1,-1,-1,-1,-1,453.3333333333333,-1,-1,-1,-1,-1,-1,-1,-1,82,155700,6.703412228796844,1043692.0,11,5803160,21,27000,6.698888888888889,180870.0,2,320,160.0,175230.990819659
20230721093009000,6.68,6.68,6.68,6.68,6.68,6.69,6.69,6.69,6.67,6.68,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,466500,201639,498600,109239,505200,215800,170100,259700,441200,53500,6.76,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,6.58,347600,106400,7700,3400,16600,12300,47900,53800,2600,3400,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,15,19,0,21,0.0,200.0,0.0,380.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,261700,6.693332059610241,1751645.0,21,7357270,31,106000,6.678801886792453,707953.0,10,1554110,155411.0,226545.76405926398
20230721093012000,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.69,6.7,6.71,6.72,6.73,6.74,6.75,6.76,6.77,466500,201639,498600,109239,505200,215800,170100,259700,441200,53500,6.76,6.66,6.65,6.64,6.63,6.62,6.61,6.6,6.59,6.58,347600,106400,7700,3400,16600,12300,47900,53800,2600,3400,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,15,19,0,21,0.0,200.0,0.0,380.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,261700,6.693332059610241,1751645.0,21,7357270,0,0,-1,0.0,0,-1,-1,226545.76405926398
20230721093015000,6.64,6.64,6.64,6.64,6.64,6.66,6.66,6.67,6.64,6.64,6.64,6.65,6.66,6.67,6.68,6.69,6.7,6.71,6.72,6.73,1800,26100,522800,24371,491200,201839,498600,105839,505200,195000,6.76,6.66,6.64,6.63,6.62,6.61,6.6,6.59,6.58,6.56,306400,65900,900,16600,12300,47900,53800,2600,3400,5100,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,15,19,0,21,-1,0.0,0.0,-1,0.0,200.0,0.0,380.0,-1,-1,-1,-1,754655.0,-1,-1,-1,-1,-1,-1,-1,121,302900,6.688180917794652,2025850.0,23,8866580,8,41200,6.655461165048544,274205.0,2,1509310,754655.0,146353.4280309065
20230721093018000,6.62,6.62,6.62,6.62,6.62,6.63,6.63,6.63,6.61,6.62,6.62,6.63,6.64,6.65,6.66,6.67,6.68,6.69,6.7,6.71,37500,15800,5500,26100,525600,24371,491200,201439,495600,108439,6.76,6.66,6.63,6.62,6.61,6.6,6.59,6.58,6.56,6.55,294600,54600,5300,3100,56400,53800,2600,3400,5100,3400,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,17,19,0,21,20.0,0.0,-1,0.0,0.0,-1,0.0,200.0,0.0,380.0,-1,0.0,0.0,160.0,-1,-1,-1,-1,-1,-1,132,314700,6.685605338417541,2103960.0,25,8866820,11,11800,6.6194915254237285,78110.0,2,240,120.0,108851.37366576387
20230721093021000,6.61,6.61,6.61,6.61,6.61,6.59,6.59,6.61,6.58,6.61,6.61,6.62,6.63,6.64,6.65,6.66,6.67,6.68,6.69,6.7,12600,56700,60900,5500,26100,523800,26171,491300,201439,495600,6.76,6.6,6.58,6.57,6.56,6.55,6.54,6.53,6.52,6.51,118100,52700,10600,27000,5100,2400,9200,5400,6300,6600,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,17,19,0,29,-1,132.0,0.0,-1,0.0,0.0,-1,0.0,200.0,0.0,-1,32.5,-1,-1,-1,-1,-1,-1,-1,-1,156,491200,6.655210861962559,3268809.0,32,8867640,22,175500,6.599595441595442,1158229.0,6,240,40.0,84886.01365102758
20230721093024000,6.6,6.61,6.61,6.61,6.61,6.6,6.6,6.61,6.6,6.61,6.6,6.62,6.63,6.64,6.65,6.66,6.67,6.68,6.69,6.7,19100,37800,62000,5500,26100,523800,11400,491300,201439,495600,6.76,6.61,6.6,6.59,6.58,6.57,6.56,6.55,6.54,6.53,86500,54100,64761,132000,24700,27000,5100,2400,9200,5400,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,28,19,0,37,7.777777777777778,132.0,0.0,-1,0.0,0.0,-1,0.0,200.0,0.0,-1,0.0,92.5,40.0,-1,-1,-1,-1,-1,-1,178,522800,6.6517083444976075,3477500.61,44,8871820,21,30900,6.604032686084138,204064.60999999987,12,4180,348.3333333333333,89764.04624024215
20230721093027000,6.63,6.62,6.62,6.61,6.61,6.61,6.61,6.63,6.61,6.61,6.6,6.62,6.63,6.64,6.65,6.66,6.67,6.68,6.69,6.7,2500,28500,55400,5500,26100,523800,11400,491300,201439,495600,6.76,6.61,6.6,6.59,6.58,6.57,6.56,6.55,6.54,6.53,49800,27000,64761,132000,24700,27000,5100,2400,9200,5400,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,25,19,0,37,7.0,132.0,0.0,-1,0.0,0.0,-1,0.0,200.0,0.0,-1,992.2222222222222,92.5,40.0,-1,-1,-1,-1,-1,-1,190,559500,6.649725394522038,3720246.61,48,8880750,11,35800,6.614441340782123,236797.0,4,8930,2232.5,80957.10223833041
20230721093030000,6.62,6.62,6.62,6.62,6.62,6.64,6.64,6.64,6.62,6.62,6.62,6.63,6.64,6.65,6.66,6.67,6.68,6.69,6.7,6.71,13800,86529,11400,26100,523800,11400,491300,201439,495600,108939,6.76,6.61,6.6,6.59,6.58,6.57,6.56,6.55,6.54,6.53,27300,27100,67861,132000,24700,27000,5100,2400,9200,5400,4,13,21,4,14,1,18,12,14,12,5,33,3,5,4,2,27,19,0,40,50.76923076923077,0.0,-1,0.0,0.0,-1,0.0,200.0,0.0,380.0,-1,992.2222222222222,92.5,40.0,-1,-1,-1,-1,-1,-1,207,582000,6.64873779363146,3869355.61,50,8881020,17,22500,6.627066666666667,149109.0,2,270,135.0,92805.78544686954
